title,description
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""11"" data-ecommerce-path=""/government/news/new-uk-france-partnership-to-bring-more-energy-security-and-independence"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/new-uk-france-partnership-to-bring-more-energy-security-and-independence"" data-track-action=""News and communications.11"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/new-uk-france-partnership-to-bring-more-energy-security-and-independence"" data-track-options=""{&quot;dimension28&quot;:20,&quot;dimension29&quot;:&quot;New UK-France partnership to bring 'more energy security and independence'&quot;}"" href=""/government/news/new-uk-france-partnership-to-bring-more-energy-security-and-independence"">New UK-France partnership to bring 'more energy security and independence'</a>","<p class=""gem-c-document-list__item-description"">UK and French governments have signed a new deal to help both nations achieve greater energy security by moving away from fossil fuels and towards renewables and nuclear power.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""12"" data-ecommerce-path=""/government/news/prime-minister-agrees-unprecedented-measures-to-tackle-illegal-migration-alongside-france"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/prime-minister-agrees-unprecedented-measures-to-tackle-illegal-migration-alongside-france"" data-track-action=""News and communications.12"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/prime-minister-agrees-unprecedented-measures-to-tackle-illegal-migration-alongside-france"" data-track-options='{""dimension28"":20,""dimension29"":""Prime Minister agrees unprecedented measures to tackle illegal migration alongside France""}' href=""/government/news/prime-minister-agrees-unprecedented-measures-to-tackle-illegal-migration-alongside-france"">Prime Minister agrees unprecedented measures to tackle illegal migration alongside France</a>","<p class=""gem-c-document-list__item-description"">Package will see a new detention centre established in France as well as the deployment of more French personnel and enhanced technology to patrol beaches in a shared effort to drive down illegal migration.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""13"" data-ecommerce-path=""/government/news/the-2023-national-clinical-impact-awards-round-is-now-open"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/the-2023-national-clinical-impact-awards-round-is-now-open"" data-track-action=""News and communications.13"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/the-2023-national-clinical-impact-awards-round-is-now-open"" data-track-options='{""dimension28"":20,""dimension29"":""The 2023 national Clinical Impact Awards round is now open""}' href=""/government/news/the-2023-national-clinical-impact-awards-round-is-now-open"">The 2023 national Clinical Impact Awards round is now open</a>","<p class=""gem-c-document-list__item-description"">The national Clinical Impact Awards will be open for applications from 10 March to 5 May 2023. </p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""14"" data-ecommerce-path=""/government/news/uk-provides-new-life-saving-support-for-rohingya-people"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/uk-provides-new-life-saving-support-for-rohingya-people"" data-track-action=""News and communications.14"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/uk-provides-new-life-saving-support-for-rohingya-people"" data-track-options='{""dimension28"":20,""dimension29"":""UK provides new life-saving support for Rohingya people""}' href=""/government/news/uk-provides-new-life-saving-support-for-rohingya-people"">UK provides new life-saving support for Rohingya people</a>","<p class=""gem-c-document-list__item-description"">Minister for the Indo-Pacific Anne-Marie Trevelyan announced new UK funding to support Rohingya people living in camps in Bangladesh.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""15"" data-ecommerce-path=""/government/news/government-backed-taskforce-is-tackling-the-entrepreneur-gap-as-stats-reveal-the-north-east-has-the-least-female-founded-high-growth-businesses"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/government-backed-taskforce-is-tackling-the-entrepreneur-gap-as-stats-reveal-the-north-east-has-the-least-female-founded-high-growth-businesses"" data-track-action=""News and communications.15"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/government-backed-taskforce-is-tackling-the-entrepreneur-gap-as-stats-reveal-the-north-east-has-the-least-female-founded-high-growth-businesses"" data-track-options='{""dimension28"":20,""dimension29"":""Government-backed Taskforce is tackling the entrepreneur gap, as stats reveal the North East has the least female-founded high-growth businesses""}' href=""/government/news/government-backed-taskforce-is-tackling-the-entrepreneur-gap-as-stats-reveal-the-north-east-has-the-least-female-founded-high-growth-businesses"">Government-backed Taskforce is tackling the entrepreneur gap, as stats reveal the North East has the least female-founded high-growth businesses</a>","<p class=""gem-c-document-list__item-description"">The government-founded High Growth Enterprise Taskforce is tackling the high-growth business entrepreneur gap, as they today reveal stats highlighting gender and regional disparities across the UK.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""16"" data-ecommerce-path=""/government/news/strand-2-working-in-government"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/strand-2-working-in-government"" data-track-action=""News and communications.16"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/strand-2-working-in-government"" data-track-options='{""dimension28"":20,""dimension29"":""Strand 2: Working in government""}' href=""/government/news/strand-2-working-in-government"">Strand 2: Working in government</a>","<p class=""gem-c-document-list__item-description"">Explore the skills, knowledge and networks within Working in government, strand 2 of the Government Campus.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""17"" data-ecommerce-path=""/government/news/world-trade-organization-general-council-march-2023-uk-statements"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/world-trade-organization-general-council-march-2023-uk-statements"" data-track-action=""News and communications.17"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/world-trade-organization-general-council-march-2023-uk-statements"" data-track-options='{""dimension28"":20,""dimension29"":""World Trade Organization General Council March 2023 UK statements""}' href=""/government/news/world-trade-organization-general-council-march-2023-uk-statements"">World Trade Organization General Council March 2023 UK statements</a>","<p class=""gem-c-document-list__item-description"">The UK spoke on a variety of agenda items at the WTO General Council on 6 - 7 March 2023.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""18"" data-ecommerce-path=""/government/news/plans-unveiled-for-new-sites-to-become-bathing-waters"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/plans-unveiled-for-new-sites-to-become-bathing-waters"" data-track-action=""News and communications.18"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/plans-unveiled-for-new-sites-to-become-bathing-waters"" data-track-options='{""dimension28"":20,""dimension29"":""Plans unveiled for new sites to become bathing waters""}' href=""/government/news/plans-unveiled-for-new-sites-to-become-bathing-waters"">Plans unveiled for new sites to become bathing waters</a>","<p class=""gem-c-document-list__item-description"">Four swimming spots in England are being considered to become designated bathing water sites from this spring.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""19"" data-ecommerce-path=""/government/news/cambridge-firm-pays-30k-after-breaching-packaging-regulations"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/cambridge-firm-pays-30k-after-breaching-packaging-regulations"" data-track-action=""News and communications.19"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/cambridge-firm-pays-30k-after-breaching-packaging-regulations"" data-track-options='{""dimension28"":20,""dimension29"":""Cambridge firm pays £30k after breaching packaging regulations""}' href=""/government/news/cambridge-firm-pays-30k-after-breaching-packaging-regulations"">Cambridge firm pays £30k after breaching packaging regulations</a>","<p class=""gem-c-document-list__item-description"">A company has made a financial contribution of £30,090.08 to the Woodland Trust after they failed to comply with packaging waste regulations.</p>"
"<a class=""gem-c-document-list__item-title govuk-link"" data-ecommerce-index=""20"" data-ecommerce-path=""/government/news/paedophile-stung-by-undercover-police-has-sentenced-increased"" data-ecommerce-row=""1"" data-ga4-ecommerce-path=""/government/news/paedophile-stung-by-undercover-police-has-sentenced-increased"" data-track-action=""News and communications.20"" data-track-category=""navFinderLinkClicked"" data-track-label=""/government/news/paedophile-stung-by-undercover-police-has-sentenced-increased"" data-track-options='{""dimension28"":20,""dimension29"":""Paedophile stung by undercover police has sentenced increased""}' href=""/government/news/paedophile-stung-by-undercover-police-has-sentenced-increased"">Paedophile stung by undercover police has sentenced increased</a>","<p class=""gem-c-document-list__item-description"">A predator who told a woman he met online to sexually assault two young children has his sentence increased by more than two years.</p>"
